player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,School_Yr,ht,porpag,adjoe,pfr,Date_Yr,pid,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,Position
JOSH NICKELBERRY,La Salle,A10,9,14.5,80.2,15.0,31.9,33.83,1.0,5.7,4.7,6.9,2,2,1.0,1,4,0.25,7,32,0.219,0.0,0.0,5.6,Jr,76,-0.328745,77.9681,3.4,2022,70938,0.0,0.0,1.0,4.0,0.0,0.25,0.0,0.0,0.0,107.29,101.759,1.15015,14.8219,-3.65587,-1.66521,-1.99066,-5.361,13.0,-3.60204,-1.75896,0.1111,0.6667,0.7778,0.3333,0.0,0.0,2.7778,Combo G
STEELE VENTERS,Eastern Washington,BSky,16,16.2,114.2,18.9,58.3,59.98,3.4,12.3,13.6,13.9,5,6,0.833,10,22,0.455,12,26,0.462,3.4,1.9,12.5,So,79,0.784685,109.539,5.9,2022,70941,7.0,12.0,3.0,10.0,0.5833,0.3,1.0,1.0,1.0,98.3986,100.064,0.878693,30.5735,3.97245,2.71301,1.25944,3.36751,9.5294,2.06969,1.29782,0.2353,1.1176,1.3529,0.7059,0.2941,0.2941,3.5882,Wing F
TARYN TODD,New Mexico,MWC,26,43.7,89.6,16.9,50.0,50.9,1.8,8.0,14.8,26.1,13,23,0.565,25,57,0.439,18,47,0.383,1.1,1.8,22.1,So,77,0.268746,89.6832,3.7,2022,70943,18.0,35.0,7.0,22.0,0.5143,0.3182,1.0,1.0,1.0,107.514,103.191,1.46073,71.2571,-1.48695,-1.33155,-0.155399,-1.49255,17.5769,-1.81758,0.325039,0.2692,1.2308,1.5,1.3077,0.5385,0.1923,4.5,Combo G
DONTAIE ALLEN,Kentucky,SEC,22,31.8,102.1,17.0,54.5,55.32,2.1,9.7,3.2,17.8,9,14,0.643,8,22,0.364,31,78,0.397,1.9,1.4,14.0,So,78,0.976073,104.753,2.0,2022,70945,3.0,4.0,5.0,18.0,0.75,0.2778,1.0,1.0,1.0,103.14,96.5962,1.53487,51.8653,1.47375,1.56489,-0.0911389,3.39488,14.5909,3.15836,0.236518,0.2727,1.3182,1.5909,0.2273,0.3636,0.2727,5.3636,Wing G
DEQUAN MORRIS,Arkansas Pine Bluff,SWAC,23,55.0,105.9,17.8,57.5,59.82,6.5,14.7,4.9,18.6,33,46,0.717,80,137,0.584,3,10,0.3,1.1,2.3,31.3,Sr,76,1.39138,102.053,3.5,2022,70946,50.0,73.0,30.0,64.0,0.6849,0.4688,21.0,26.0,0.8077,111.097,117.587,0.797675,92.0757,-4.05153,-1.12055,-2.93099,-2.66673,24.1304,-0.355971,-2.31076,1.3913,2.913,4.3043,0.4348,0.9565,0.2609,8.7826,Wing G
ANTHONY HARRIS,North Carolina,ACC,16,15.2,102.3,16.6,48.8,49.93,3.5,6.2,19.5,20.8,9,17,0.529,15,27,0.556,4,16,0.25,0.0,2.9,39.5,So,76,0.695642,103.481,4.5,2022,70947,11.0,18.0,4.0,9.0,0.6111,0.4444,0.0,1.0,0.0,100.539,92.4229,1.32957,31.4217,1.84971,1.48759,0.362126,1.67042,11.0,-0.722547,2.39297,0.375,0.625,1.0,1.25,0.5625,0.0,3.1875,Scoring PG
ETHAN ANDERSON,USC,P12,25,39.1,93.1,19.4,44.7,47.18,2.1,7.2,22.1,25.5,25,41,0.61,33,87,0.379,17,44,0.386,0.2,1.5,31.3,Jr,73,0.88633,97.6249,3.9,2022,70951,12.0,30.0,20.0,56.0,0.4,0.3571,0.0,0.0,0.0,100.17,92.9684,2.45691,81.2581,0.183548,-0.197677,0.381225,-0.369272,20.96,-1.41317,1.0439,0.36,1.4,1.76,2.68,0.52,0.04,5.68,Scoring PG
KSHUN STOKES,Arkansas Pine Bluff,SWAC,21,14.4,78.3,11.9,37.5,41.3,7.7,10.9,3.0,26.6,3,3,1.0,6,19,0.316,2,5,0.4,0.7,3.2,12.5,Jr,74,-0.402077,68.3744,1.4,2022,70953,4.0,10.0,2.0,9.0,0.4,0.2222,0.0,0.0,0.0,111.31,116.55,0.260277,24.3057,-6.39721,-3.84205,-2.55516,-5.2392,6.9048,-3.03221,-2.20698,0.4762,0.619,1.0952,0.0952,0.381,0.0476,1.0,Wing G
MARKEDRIC BELL,Prairie View A&M,SWAC,25,62.4,81.9,21.9,37.6,43.04,5.9,18.6,9.4,20.4,48,65,0.738,64,169,0.379,7,29,0.241,6.7,1.6,32.8,Sr,80,-0.15988,83.4091,4.7,2022,70954,28.0,56.0,36.0,113.0,0.5,0.3186,5.0,8.0,0.625,108.006,114.038,1.14803,120.402,-5.31867,-5.11859,-0.200073,-5.917,25.2,-4.31559,-1.60141,1.32,3.84,5.16,0.96,0.68,1.6,7.88,PF/C
MYLIK WILSON,Texas Tech,B12,24,83.6,102.4,21.0,46.6,50.32,3.4,13.9,16.7,16.5,57,78,0.731,107,222,0.482,12,46,0.261,2.6,3.5,29.1,Jr,75,1.90213,101.647,3.1,2022,70955,78.0,127.0,29.0,95.0,0.6142,0.3053,9.0,12.0,0.75,97.228,99.5223,3.21842,180.19,3.11671,0.792276,2.32443,2.77183,33.7308,0.424646,2.34719,1.2308,4.2692,5.5,3.1923,2.0,0.9615,12.9231,Combo G
